codepoint,character,name
2190,←,LEFTWARDS ARROW
2191,↑,UPWARDS ARROW
2192,→,RIGHTWARDS ARROW
2193,↓,DOWNWARDS ARROW
2194,↔,LEFT RIGHT ARROW
2195,↕,UP DOWN ARROW
2196,↖,NORTH WEST ARROW
2197,↗,NORTH EAST ARROW
2198,↘,SOUTH EAST ARROW
2199,↙,SOUTH WEST ARROW
219A,↚,LEFTWARDS ARROW WITH STROKE
219B,↛,RIGHTWARDS ARROW WITH STROKE
219C,↜,LEFTWARDS WAVE ARROW
219D,↝,RIGHTWARDS WAVE ARROW
219E,↞,LEFTWARDS TWO HEADED ARROW
219F,↟,UPWARDS TWO HEADED ARROW
21A0,↠,RIGHTWARDS TWO HEADED ARROW
21A1,↡,DOWNWARDS TWO HEADED ARROW
21A2,↢,LEFTWARDS ARROW WITH TAIL
21A3,↣,RIGHTWARDS ARROW WITH TAIL
21A4,↤,LEFTWARDS ARROW FROM BAR
21A5,↥,UPWARDS ARROW FROM BAR
21A6,↦,RIGHTWARDS ARROW FROM BAR
21A7,↧,DOWNWARDS ARROW FROM BAR
21A8,↨,UP DOWN ARROW WITH BASE
21A9,↩,LEFTWARDS ARROW WITH HOOK
21AA,↪,RIGHTWARDS ARROW WITH HOOK
21AB,↫,LEFTWARDS ARROW WITH LOOP
21AC,↬,RIGHTWARDS ARROW WITH LOOP
21AD,↭,LEFT RIGHT WAVE ARROW
21AE,↮,LEFT RIGHT ARROW WITH STROKE
21AF,↯,DOWNWARDS ZIGZAG ARROW
21B0,↰,UPWARDS ARROW WITH TIP LEFTWARDS
21B1,↱,UPWARDS ARROW WITH TIP RIGHTWARDS
21B2,↲,DOWNWARDS ARROW WITH TIP LEFTWARDS
21B3,↳,DOWNWARDS ARROW WITH TIP RIGHTWARDS
21B4,↴,RIGHTWARDS ARROW WITH CORNER DOWNWARDS
21B5,↵,DOWNWARDS ARROW WITH CORNER LEFTWARDS
21B6,↶,ANTICLOCKWISE TOP SEMICIRCLE ARROW
21B7,↷,CLOCKWISE TOP SEMICIRCLE ARROW
21B8,↸,NORTH WEST ARROW TO LONG BAR
21B9,↹,LEFTWARDS ARROW TO BAR OVER RIGHTWARDS ARROW TO BAR
21BA,↺,ANTICLOCKWISE OPEN CIRCLE ARROW
21BB,↻,CLOCKWISE OPEN CIRCLE ARROW
21BC,↼,LEFTWARDS HARPOON WITH BARB UPWARDS
21BD,↽,LEFTWARDS HARPOON WITH BARB DOWNWARDS
21BE,↾,UPWARDS HARPOON WITH BARB RIGHTWARDS
21BF,↿,UPWARDS HARPOON WITH BARB LEFTWARDS
21C0,⇀,RIGHTWARDS HARPOON WITH BARB UPWARDS
21C1,⇁,RIGHTWARDS HARPOON WITH BARB DOWNWARDS
21C2,⇂,DOWNWARDS HARPOON WITH BARB RIGHTWARDS
21C3,⇃,DOWNWARDS HARPOON WITH BARB LEFTWARDS
21C4,⇄,RIGHTWARDS ARROW OVER LEFTWARDS ARROW
21C5,⇅,UPWARDS ARROW LEFTWARDS OF DOWNWARDS ARROW
21C6,⇆,LEFTWARDS ARROW OVER RIGHTWARDS ARROW
21C7,⇇,LEFTWARDS PAIRED ARROWS
21C8,⇈,UPWARDS PAIRED ARROWS
21C9,⇉,RIGHTWARDS PAIRED ARROWS
21CA,⇊,DOWNWARDS PAIRED ARROWS
21CB,⇋,LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON
21CC,⇌,RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON
21CD,⇍,LEFTWARDS DOUBLE ARROW WITH STROKE
