codepoint,character,name
2700,✀,BLACK SAFETY SCISSORS
2701,✁,UPPER BLADE SCISSORS
2702,✂,BLACK SCISSORS
2703,✃,LOWER BLADE SCISSORS
2704,✄,WHITE SCISSORS
2705,✅,WHITE HEAVY CHECK MARK
2706,✆,TELEPHONE LOCATION SIGN
2707,✇,TAPE DRIVE
2708,✈,AIRPLANE
2709,✉,ENVELOPE
270A,✊,RAISED FIST
270B,✋,RAISED HAND
270C,✌,VICTORY HAND
270D,✍,WRITING HAND
270E,✎,LOWER RIGHT PENCIL
270F,✏,PENCIL
2710,✐,UPPER RIGHT PENCIL
2711,✑,WHITE NIB
2712,✒,BLACK NIB
2713,✓,CHECK MARK
2714,✔,HEAVY CHECK MARK
2715,✕,MULTIPLICATION X
2716,✖,HEAVY MULTIPLICATION X
2717,✗,BALLOT X
2718,✘,HEAVY BALLOT X
2719,✙,OUTLINED GREEK CROSS
271A,✚,HEAVY GREEK CROSS
271B,✛,OPEN CENTRE CROSS
271C,✜,HEAVY OPEN CENTRE CROSS
271D,✝,LATIN CROSS
271E,✞,SHADOWED WHITE LATIN CROSS
271F,✟,OUTLINED LATIN CROSS
2720,✠,MALTESE CROSS
2721,✡,STAR OF DAVID
2722,✢,FOUR TEARDROP-SPOKED ASTERISK
2723,✣,FOUR BALLOON-SPOKED ASTERISK
2724,✤,HEAVY FOUR BALLOON-SPOKED ASTERISK
2725,✥,FOUR CLUB-SPOKED ASTERISK
2726,✦,BLACK FOUR POINTED STAR
2727,✧,WHITE FOUR POINTED STAR
2728,✨,SPARKLES
2729,✩,STRESS OUTLINED WHITE STAR
272A,✪,CIRCLED WHITE STAR
272B,✫,OPEN CENTRE BLACK STAR
272C,✬,BLACK CENTRE WHITE STAR
272D,✭,OUTLINED BLACK STAR
272E,✮,HEAVY OUTLINED BLACK STAR
272F,✯,PINWHEEL STAR
2730,✰,SHADOWED WHITE STAR
2731,✱,HEAVY ASTERISK
2732,✲,OPEN CENTRE ASTERISK
2733,✳,EIGHT SPOKED ASTERISK
2734,✴,EIGHT POINTED BLACK STAR
2735,✵,EIGHT POINTED PINWHEEL STAR
2736,✶,SIX POINTED BLACK STAR
2737,✷,EIGHT POINTED RECTILINEAR BLACK STAR
2738,✸,HEAVY EIGHT POINTED RECTILINEAR BLACK STAR
2739,✹,TWELVE POINTED BLACK STAR
273A,✺,SIXTEEN POINTED ASTERISK
273B,✻,TEARDROP-SPOKED ASTERISK
273C,✼,OPEN CENTRE TEARDROP-SPOKED ASTERISK
273D,✽,HEAVY TEARDROP-SPOKED ASTERISK
273E,✾,SIX PETALLED BLACK AND WHITE FLORETTE
273F,✿,BLACK FLORETTE
2740,❀,WHITE FLORETTE
2741,❁,EIGHT PETALLED OUTLINED BLACK FLORETTE
