codepoint,character,name
eb99,,account
ea97,,activate_breakpoints
ea60,,add
ea98,,archive
ea99,,arrow_both
ebfc,,arrow_circle_down
ebfd,,arrow_circle_left
ebfe,,arrow_circle_right
ebff,,arrow_circle_up
ea9a,,arrow_down
ea9b,,arrow_left
ea9c,,arrow_right
ea9d,,arrow_small_down
ea9e,,arrow_small_left
ea9f,,arrow_small_right
eaa0,,arrow_small_up
ebcb,,arrow_swap
eaa1,,arrow_up
ebd8,,azure
ebe8,,azure_devops
ea79,,beaker
ebe1,,beaker_stop
eaa2,,bell
eb9a,,bell_dot
ec08,,bell_slash
ec09,,bell_slash_dot
ec03,,blank
eaa3,,bold
eaa4,,book
eaa5,,bookmark
ebe5,,bracket_dot
ebe6,,bracket_error
eaac,,briefcase
eaad,,broadcast
eaae,,browser
eaaf,,bug
eab0,,calendar
eb92,,call_incoming
eb93,,call_outgoing
eab1,,case_sensitive
eab2,,check
ebb1,,check_all
eab3,,checklist
eab4,,chevron_down
eab5,,chevron_left
eab6,,chevron_right
eab7,,chevron_up
ec19,,chip
eab8,,chrome_close
eab9,,chrome_maximize
eaba,,chrome_minimize
eabb,,chrome_restore
eabc,,circle
ea71,,circle_filled
ebb5,,circle_large
ebb4,,circle_large_filled
eabd,,circle_slash
ec07,,circle_small
eb8a,,circle_small_filled
eabe,,circuit_board
eabf,,clear_all
eac0,,clippy
ea76,,close
eac1,,close_all
ebaa,,cloud
eac2,,cloud_download
eac3,,cloud_upload
eac4,,code
ec15,,coffee
eac5,,collapse_all
eac6,,color_mode
ebb6,,combine
ea6b,,comment
eac7,,comment_discussion
ec0e,,comment_draft
ec0a,,comment_unresolved
ebd5,,compass
ebd7,,compass_active
ebd6,,compass_dot
ec1e,,copilot
ebcc,,copy
eac9,,credit_card
eacc,,dash
eacd,,dashboard
eace,,database
ead8,,debug
ebdc,,debug_all
eb91,,debug_alt
eba8,,debug_alt_small
eaa7,,debug_breakpoint_conditional
eaa6,,debug_breakpoint_conditional_unverified
eaa9,,debug_breakpoint_data
eaa8,,debug_breakpoint_data_unverified
eb88,,debug_breakpoint_function
eb87,,debug_breakpoint_function_unverified
eaab,,debug_breakpoint_log
eaaa,,debug_breakpoint_log_unverified
eb8c,,debug_breakpoint_unsupported
eb9b,,debug_console
eacf,,debug_continue
ebe0,,debug_continue_small
ebdd,,debug_coverage
ead0,,debug_disconnect
ebd0,,debug_line_by_line
ead1,,debug_pause
ebc0,,debug_rerun
ead2,,debug_restart
eb90,,debug_restart_frame
eb8e,,debug_reverse_continue
eb8b,,debug_stackframe
eb89,,debug_stackframe_active
ead3,,debug_start
eb8f,,debug_step_back
ead4,,debug_step_into
ead5,,debug_step_out
ead6,,debug_step_over
ead7,,debug_stop
ea78,,desktop_download
eada,,device_camera
ead9,,device_camera_video
eadb,,device_mobile
eae1,,diff
eadc,,diff_added
eadd,,diff_ignored
eade,,diff_modified
eadf,,diff_removed
eae0,,diff_renamed
eae2,,discard
ea73,,edit
eae3,,editor_layout
ea7c,,ellipsis
eae4,,empty_window
ea87,,error
ebfb,,error_small
eae5,,exclude
eb95,,expand_all
ebac,,export
eae6,,extensions
ea70,,eye
eae7,,eye_closed
eb96,,feedback
ea7b,,file
eae8,,file_binary
eae9,,file_code
eaea,,file_media
eaeb,,file_pdf
eaec,,file_submodule
eaed,,file_symlink_directory
eaee,,file_symlink_file
eaef,,file_zip
eaf0,,files
eaf1,,filter
ebce,,filter_filled
eaf2,,flame
eaf5,,fold
eaf3,,fold_down
eaf4,,fold_up
ea83,,folder
eaf6,,folder_active
ebdf,,folder_library
eaf7,,folder_opened
ec17,,game
eaf8,,gear
eaf9,,gift
eafa,,gist_secret
eafc,,git_commit
eafd,,git_compare
ec1d,,git_fetch
eafe,,git_merge
ea64,,git_pull_request
ebda,,git_pull_request_closed
ebbc,,git_pull_request_create
ebdb,,git_pull_request_draft
ec0b,,git_pull_request_go_to_changes
ec0c,,git_pull_request_new_changes
ea84,,github
eaff,,github_action
eb00,,github_alt
eba1,,github_inverted
eb01,,globe
ea94,,go_to_file
eb02,,grabber
eb03,,graph
ebad,,graph_left
ebe2,,graph_line
ebe3,,graph_scatter
eb04,,gripper
eb97,,group_by_ref_type
eb05,,heart
ec04,,heart_filled
ea82,,history
eb06,,home
eb07,,horizontal_rule
eb08,,hubot
eb09,,inbox
ebf9,,indent
ea74,,info
ec11,,insert
ebd1,,inspect
ebd9,,issue_draft
eb0b,,issue_reopened
eb0c,,issues
eb0d,,italic
eb0e,,jersey
eb0f,,json
eb10,,kebab_vertical
eb11,,key
eb12,,law
ebd2,,layers
ebd4,,layers_active
ebd3,,layers_dot
ebeb,,layout
ebec,,layout_activitybar_left
ebed,,layout_activitybar_right
ebf7,,layout_centered
ebf6,,layout_menubar
ebf2,,layout_panel
ebef,,layout_panel_center
ebf0,,layout_panel_justify
ebee,,layout_panel_left
ec01,,layout_panel_off
ebf1,,layout_panel_right
ebf3,,layout_sidebar_left
ec02,,layout_sidebar_left_off
ebf4,,layout_sidebar_right
ec00,,layout_sidebar_right_off
ebf5,,layout_statusbar
eb9c,,library
ea61,,lightbulb
eb13,,lightbulb_autofix
eb15,,link
eb14,,link_external
eb83,,list_filter
eb84,,list_flat
eb16,,list_ordered
eb85,,list_selection
eb86,,list_tree
eb17,,list_unordered
eb18,,live_share
eb19,,loading
eb1a,,location
ea75,,lock
ebe7,,lock_small
ebae,,magnet
eb1c,,mail
eb1b,,mail_read
ec05,,map
ec06,,map_filled
eb1d,,markdown
eb1e,,megaphone
eb1f,,mention
eb94,,menu
ebab,,merge
ec12,,mic
ec1c,,mic_filled
eb20,,milestone
ea69,,mirror
eb21,,mortar_board
eb22,,move
eb23,,multiple_windows
ec1b,,music
eb24,,mute
ea7f,,new_file
ea80,,new_folder
ebea,,newline
eb25,,no_newline
eb26,,note
ebaf,,notebook
ebbf,,notebook_template
eb27,,octoface
eb28,,open_preview
ea7e,,organization
eb9d,,output
eb29,,package
eb2a,,paintcan
eba4,,pass
ebb3,,pass_filled
ea67,,person
ebcd,,person_add
ec1a,,piano
ebe4,,pie_chart
eb2b,,pin
eba0,,pinned
ebb2,,pinned_dirty
eb2c,,play
eba6,,play_circle
eb2d,,plug
eb2e,,preserve_case
eb2f,,preview
ea72,,primitive_square
eb30,,project
eb31,,pulse
eb32,,question
eb33,,quote
eb34,,radio_tower
eb35,,reactions
eba7,,record
ea65,,record_keys
ebfa,,record_small
ebb0,,redo
eb36,,references
eb37,,refresh
eb38,,regex
eb3a,,remote
eb39,,remote_explorer
eb3b,,remove
eb3d,,replace
eb3c,,replace_all
ea7d,,reply
ea62,,repo
eb3e,,repo_clone
eb3f,,repo_force_push
ea63,,repo_forked
eb40,,repo_pull
eb41,,repo_push
eb42,,report
eb43,,request_changes
eb44,,rocket
eb46,,root_folder
eb45,,root_folder_opened
eb47,,rss
eb48,,ruby
ebbd,,run_above
eb9e,,run_all
ebbe,,run_below
ebde,,run_errors
eb4b,,save
eb49,,save_all
eb4a,,save_as
eb4c,,screen_full
eb4d,,screen_normal
ea6d,,search
ec0d,,search_fuzzy
eb4e,,search_stop
ec0f,,send
eb50,,server
eba3,,server_environment
eba2,,server_process
eb52,,settings
eb51,,settings_gear
eb53,,shield
ea6f,,sign_in
ea6e,,sign_out
eb54,,smiley
ec16,,snake
eb55,,sort_precedence
ea68,,source_control
ec10,,sparkle
eb56,,split_horizontal
eb57,,split_vertical
eb58,,squirrel
ea6a,,star_empty
eb59,,star_full
eb5a,,star_half
eba5,,stop_circle
ea8a,,symbol_array
ea8f,,symbol_boolean
eb5b,,symbol_class
eb5c,,symbol_color
eb5d,,symbol_constant
ea95,,symbol_enum
eb5e,,symbol_enum_member
ea86,,symbol_event
eb5f,,symbol_field
eb60,,symbol_file
eb61,,symbol_interface
ea93,,symbol_key
eb62,,symbol_keyword
ea8c,,symbol_method
eb63,,symbol_misc
ea8b,,symbol_namespace
ea90,,symbol_numeric
eb64,,symbol_operator
ea92,,symbol_parameter
eb65,,symbol_property
ea96,,symbol_ruler
eb66,,symbol_snippet
eb8d,,symbol_string
ea91,,symbol_structure
ea88,,symbol_variable
ea77,,sync
eb9f,,sync_ignored
ebb7,,table
ea66,,tag
ebf8,,target
eb67,,tasklist
eb68,,telescope
ea85,,terminal
ebca,,terminal_bash
ebc4,,terminal_cmd
ebc5,,terminal_debian
ebc6,,terminal_linux
ebc7,,terminal_powershell
ebc8,,terminal_tmux
ebc9,,terminal_ubuntu
eb69,,text_size
eb6a,,three_bars
eb6b,,thumbsdown
ec13,,thumbsdown_filled
eb6c,,thumbsup
ec14,,thumbsup_filled
eb6d,,tools
ea81,,trash
eb6e,,triangle_down
eb6f,,triangle_left
eb70,,triangle_right
eb71,,triangle_up
eb72,,twitter
ebb9,,type_hierarchy
ebba,,type_hierarchy_sub
ebbb,,type_hierarchy_super
eb73,,unfold
eb98,,ungroup_by_ref_type
eb74,,unlock
eb75,,unmute
eb76,,unverified
ebb8,,variable_group
eb77,,verified
ebe9,,verified_filled
eb78,,versions
ea7a,,vm
eb79,,vm_active
eba9,,vm_connect
eb7a,,vm_outline
eb7b,,vm_running
ec18,,vr
ebcf,,wand
ea6c,,warning
eb7c,,watch
eb7d,,whitespace
eb7e,,whole_word
eb7f,,window
eb80,,word_wrap
ebc1,,workspace_trusted
ebc3,,workspace_unknown
ebc2,,workspace_untrusted
eb81,,zoom_in
eb82,,zoom_out
