codepoint,character,name
e6b5,,ada
e6ab,,asm
e6b3,,astro
e63a,,bazel
e61e,,c
e6b6,,chuck
e6b0,,common_lisp
e61d,,cpp
e62f,,crystal
e612,,default
e62e,,electron
e62d,,elixir
e62c,,elm
e632,,emacs
e6af,,fennel
e657,,firebase
e5ff,,folder
e5fc,,folder_config
e5fb,,folder_git
e5fb,,folder_git_branch
e5fd,,folder_github
e5fa,,folder_npm
e6ad,,folder_oct
e5fe,,folder_open
e626,,go
e617,,home
e634,,kotlin
e629,,msdos
e6ae,,neovim
e633,,orgmode
e602,,play_arrow
e6b4,,prettier
e631,,puppet
e630,,purescript
e605,,ruby
e6b1,,scheme
e6b2,,toml
e6ac,,v_lang
e62b,,vim
e6b7,,vitruvian
e62a,,windows
