codepoint,character,name
e29e,,apple_fruit
e27f,,atom
e280,,bacteria
e281,,banana
e282,,bath
e283,,bed
e284,,benzene
e285,,bigger
e286,,biohazard
e287,,blogger_circle
e288,,blogger_square
e289,,bones
e28a,,book_open
e28b,,book_open_o
e28c,,brain
e28d,,bread
e28e,,butterfly
e28f,,carot
e290,,cc_by
e291,,cc_cc
e292,,cc_nc
e293,,cc_nc_eu
e294,,cc_nc_jp
e295,,cc_nd
e296,,cc_remix
e297,,cc_sa
e298,,cc_share
e299,,cc_zero
e29a,,checklist_o
e264,,cheese
e29b,,cherry
e29c,,chess_bishop
e25f,,chess_horse
e260,,chess_king
e261,,chess_pawn
e262,,chess_queen
e263,,chess_tower
e29f,,chicken_thigh
e265,,chilli
e266,,chip
e267,,cicling
e268,,cloud
e269,,cockroach
e26a,,coffe_beans
e26b,,coins
e26c,,comb
e26d,,comet
e26e,,crown
e26f,,cup_coffe
e270,,dice
e271,,disco
e272,,dna
e273,,donut
e274,,dress
e275,,drop
e276,,ello
e277,,envelope_open
e278,,envelope_open_o
e279,,equal
e27a,,equal_bigger
e27b,,feedly
e27c,,file_export
e27d,,file_import
e23f,,fingerprint
e240,,floppy
e241,,footprint
e242,,freecodecamp
e243,,galaxy
e244,,galery
e2a0,,gift_card
e245,,glass
e246,,google_drive
e247,,google_play
e248,,gps
e249,,grav
e24a,,guitar
e24b,,gut
e24c,,halter
e24d,,hamburger
e24e,,hat
e24f,,hexagon
e250,,high_heel
e251,,hotdog
e252,,ice_cream
e253,,id_card
e254,,imdb
e255,,infinity
e2a1,,injection
e2a2,,isle
e256,,java
e257,,layers
e258,,lips
e259,,lipstick
e25a,,liver
e2a3,,lollipop
e2a4,,loyalty_card
e25b,,lung
e25c,,makeup_brushes
e25d,,maximize
e2a5,,meat
e221,,medicine
e222,,microscope
e223,,milk_bottle
e224,,minimize
e225,,molecule
e226,,moon_cloud
e2a6,,mountains
e227,,mushroom
e228,,mustache
e229,,mysql
e22a,,nintendo
e2a7,,orange
e22b,,palette_color
e2a8,,peach
e2a9,,pear
e22c,,pi
e22d,,pizza
e22e,,planet
e22f,,plant
e230,,playstation
e231,,poison
e232,,popcorn
e233,,popsicle
e234,,pulse
e235,,python
e236,,quora_circle
e237,,quora_square
e238,,radioactive
e239,,raining
e23a,,real_heart
e23b,,refrigerator
e23c,,restore
e23d,,ring
e23e,,ruby
e21e,,ruby_o
e21f,,ruler
e218,,shirt
e216,,slash
e200,,smaller
e201,,snowing
e202,,soda
e203,,sofa
e204,,soup
e205,,spermatozoon
e206,,spin_double
e207,,stomach
e208,,storm
e21d,,sun_cloud
e21a,,sushi
e219,,tacos
e217,,telegram
e215,,telegram_circle
e209,,telescope
e20a,,thermometer
e20b,,thermometer_high
e20c,,thermometer_low
e20d,,thin_close
e20e,,toilet
e20f,,tools
e210,,tooth
e21c,,tree
e21b,,triangle_ruler
e220,,umbrella
e211,,uterus
e214,,virus
e212,,w3c
e213,,walking
e25e,,wallet
e27e,,wind
e29d,,xbox
