codepoint,character,name
f31d,,almalinux
f300,,alpine
f301,,aosc
f302,,apple
f345,,archcraft
f31e,,archlabs
f303,,archlinux
f346,,arcolinux
f34b,,arduino
f31f,,artix
f354,,awesome
f347,,biglinux
f355,,bspwm
f320,,budgie
f304,,centos
f35f,,cinnamon
f330,,codeberg
f305,,coreos
f348,,crystal
f306,,debian
f321,,deepin
f307,,devuan
f308,,docker
f356,,dwm
f309,,elementary
f322,,endeavour
f357,,enlightenment
f36a,,fdroid
f30a,,fedora
f30b,,fedora_inverse
f323,,ferris
f324,,flathub
f358,,fluxbox
f335,,forgejo
f36b,,fosdem
f30c,,freebsd
f336,,freecad
f360,,freedesktop
f337,,garuda
f30d,,gentoo
f338,,gimp
f339,,gitea
f361,,gnome
f325,,gnu_guix
f362,,gtk
f33a,,hyperbola
f359,,hyprland
f35a,,i3
f326,,illumos
f33b,,inkscape
f35b,,jwm
f327,,kali_linux
f373,,kde
f331,,kde_neon
f332,,kde_plasma
f33c,,kdenlive
f34c,,kicad
f33d,,krita
f333,,kubuntu
f334,,kubuntu_inverse
f37e,,leap
f376,,libreoffice
f377,,libreofficebase
f378,,libreofficecalc
f379,,libreofficedraw
f37a,,libreofficeimpress
f37b,,libreofficemath
f37c,,libreofficewriter
f30e,,linuxmint
f30f,,linuxmint_inverse
f349,,locos
f363,,lxde
f33e,,lxle
f364,,lxqt
f310,,mageia
f311,,mandriva
f312,,manjaro
f365,,mate
f36e,,mpv
f33f,,mxlinux
f36f,,neovim
f313,,nixos
f380,,nobara
f34d,,octoprint
f328,,openbsd
f34e,,openscad
f314,,opensuse
f34f,,osh
f350,,oshwa
f36c,,osi
f340,,parabola
f329,,parrot
f32a,,pop_os
f374,,postmarketos
f351,,prusaslicer
f341,,puppy
f375,,qt
f35c,,qtile
f342,,qubesos
f315,,raspberry_pi
f316,,redhat
f352,,reprap
f353,,riscv
f381,,river
f32b,,rocky_linux
f317,,sabayon
f318,,slackware
f319,,slackware_inverse
f32c,,snappy
f32d,,solus
f35d,,sway
f343,,tails
f370,,thunderbird
f371,,tor
f344,,trisquel
f37d,,tumbleweed
f31a,,tux
f37f,,typst
f31b,,ubuntu
f31c,,ubuntu_inverse
f366,,vanilla
f32e,,void
f372,,vscodium
f367,,wayland
f36d,,wikimedia
f34a,,xerolinux
f368,,xfce
f35e,,xmonad
f369,,xorg
f32f,,zorin
