codepoint,character,name
f406,,accessibility
f40b,,accessibility_inset
f421,,alert
f40c,,alert_fill
f40e,,apps
f411,,archive
f416,,arrow_both
f433,,arrow_down
f424,,arrow_down_left
f43e,,arrow_down_right
f434,,arrow_left
f432,,arrow_right
f443,,arrow_switch
f431,,arrow_up
f45c,,arrow_up_left
f46c,,arrow_up_right
f499,,beaker
f49a,,bell
f476,,bell_fill
f478,,bell_slash
f479,,blocked
f49d,,bold
f405,,book
f461,,bookmark
f47a,,bookmark_fill
f533,,bookmark_slash
f493,,bookmark_slash_fill
f491,,briefcase
f43c,,broadcast
f488,,browser
f46f,,bug
f49b,,cache
f455,,calendar
f42e,,check
f49e,,check_circle
f4a4,,check_circle_fill
f4a7,,checkbox
f45e,,checklist
f47c,,chevron_down
f47d,,chevron_left
f460,,chevron_right
f47b,,chevron_up
f4aa,,circle
f468,,circle_slash
f43a,,clock
f4ab,,clock_fill
f4ac,,cloud
f4ad,,cloud_offline
f44f,,code
f4ae,,code_of_conduct
f4af,,code_review
f4b0,,code_square
f4b1,,codescan
f4b2,,codescan_checkmark
f4b3,,codespaces
f4b4,,columns
f4b5,,command_palette
f41f,,comment
f442,,comment_discussion
f4b6,,commit
f4b7,,container
f4b8,,copilot
f4b9,,copilot_error
f4ba,,copilot_warning
f4bb,,copy
f4bc,,cpu
f439,,credit_card
f4bd,,cross_reference
f48b,,dash
f472,,database
f4be,,dependabot
f498,,desktop_download
f446,,device_camera
f447,,device_camera_video
f4a9,,device_desktop
f42c,,device_mobile
f4bf,,diamond
f440,,diff
f457,,diff_added
f474,,diff_ignored
f459,,diff_modified
f458,,diff_removed
f45a,,diff_renamed
f4c0,,discussion_closed
f4c1,,discussion_duplicate
f4c2,,discussion_outdated
f4c3,,dot
f444,,dot_fill
f409,,download
f4c4,,duplicate
f475,,ellipsis
f441,,eye
f4c5,,eye_closed
f4c6,,feed_discussion
f4c7,,feed_forked
f4c8,,feed_heart
f4c9,,feed_merged
f4ca,,feed_person
f4cb,,feed_repo
f4cc,,feed_rocket
f4cd,,feed_star
f4ce,,feed_tag
f4cf,,feed_trophy
f4a5,,file
f4d0,,file_added
f4d1,,file_badge
f471,,file_binary
f40d,,file_code
f4d2,,file_diff
f413,,file_directory
f4d3,,file_directory_fill
f4d4,,file_directory_open_fill
f40f,,file_media
f4d5,,file_moved
f4d6,,file_removed
f414,,file_submodule
f482,,file_symlink_directory
f481,,file_symlink_file
f410,,file_zip
f4d7,,filter
f4d8,,fiscal_host
f490,,flame
f48c,,fold
f4d9,,fold_down
f4da,,fold_up
f423,,gear
f436,,gift
f418,,git_branch
f417,,git_commit
f47f,,git_compare
f419,,git_merge
f4db,,git_merge_queue
f407,,git_pull_request
f4dc,,git_pull_request_closed
f4dd,,git_pull_request_draft
f484,,globe
f4de,,goal
f4a6,,grabber
f437,,graph
f4df,,hash
f4e0,,heading
2665,♥,heart
f4e1,,heart_fill
f464,,history
f46d,,home
f4e2,,home_fill
f45b,,horizontal_rule
f4e3,,hourglass
f477,,hubot
f4e4,,id_badge
f4e5,,image
f48d,,inbox
f4e6,,infinity
f449,,info
f41d,,issue_closed
f4e7,,issue_draft
f41b,,issue_opened
f41c,,issue_reopened
f4e8,,issue_tracked_by
f4e9,,issue_tracks
f49f,,italic
f4ea,,iterations
f4eb,,kebab_horizontal
f43d,,key
f4ec,,key_asterisk
f495,,law
f400,,light_bulb
f44c,,link
f465,,link_external
f452,,list_ordered
f451,,list_unordered
f450,,location
f456,,lock
f4ed,,log
f480,,logo_gist
f470,,logo_github
f42f,,mail
f408,,mark_github
f48a,,markdown
f45f,,megaphone
f486,,mention
f463,,meter
f45d,,milestone
f41a,,mirror
f4ee,,moon
f494,,mortar_board
f4ef,,move_to_bottom
f4f0,,move_to_end
f4f1,,move_to_start
f4f2,,move_to_top
f4f3,,multi_select
f466,,mute
f4f4,,no_entry
f4f5,,north_star
f4f6,,note
f4f7,,number
f42b,,organization
f487,,package
f4f8,,package_dependencies
f4f9,,package_dependents
f48f,,paintbrush
f4fa,,paper_airplane
f4fb,,paperclip
f4fc,,passkey_fill
f429,,paste
f448,,pencil
f4fd,,people
f415,,person
f4fe,,person_add
f4ff,,person_fill
f435,,pin
f500,,play
f492,,plug
f44d,,plus
f501,,plus_circle
f502,,project
f503,,project_roadmap
f504,,project_symlink
f505,,project_template
f469,,pulse
f420,,question
f453,,quote
f430,,read
f506,,rel_file_path
f4a8,,reply
f401,,repo
f43f,,repo_clone
f507,,repo_deleted
f402,,repo_forked
f508,,repo_locked
f404,,repo_pull
f403,,repo_push
f509,,repo_template
f50a,,report
f427,,rocket
f50b,,rows
f428,,rss
f43b,,ruby
f50c,,screen_full
f50d,,screen_normal
f422,,search
f473,,server
f50e,,share
f50f,,share_android
f49c,,shield
f510,,shield_check
f511,,shield_lock
f512,,shield_slash
f513,,shield_x
f514,,sidebar_collapse
f515,,sidebar_expand
f42a,,sign_in
f426,,sign_out
f516,,single_select
f517,,skip
f518,,skip_fill
f462,,sliders
f4a2,,smiley
f519,,sort_asc
f51a,,sort_desc
f51b,,sparkle_fill
f51c,,sponsor_tiers
f51d,,square
f445,,square_fill
f483,,squirrel
f51e,,stack
f41e,,star
f51f,,star_fill
f46e,,stop
f520,,stopwatch
f521,,strikethrough
f522,,sun
f46a,,sync
f523,,tab
f524,,tab_external
f525,,table
f412,,tag
f4a0,,tasklist
f46b,,telescope
f526,,telescope_fill
f489,,terminal
f44e,,three_bars
f497,,thumbsdown
f496,,thumbsup
f425,,tools
f48e,,trash
f44b,,triangle_down
f438,,triangle_left
f44a,,triangle_right
f47e,,triangle_up
f527,,trophy
f528,,typography
f42d,,unfold
f529,,unlink
f52a,,unlock
f485,,unmute
f52b,,unread
f4a3,,unverified
f40a,,upload
f4a1,,verified
f454,,versions
f52c,,video
f52d,,webhook
f52e,,workflow
f467,,x
f52f,,x_circle
f530,,x_circle_fill
26a1,⚡,zap
f531,,zoom_in
f532,,zoom_out
