codepoint,character,name
e635,,apple
e636,,argdown
e637,,asm
e638,,audio
e639,,babel
e63a,,bazel
e63b,,bicep
e61a,,bower
e63c,,bsl
e649,,c
e648,,c_sharp
e63e,,cake
e63d,,cake_php
e63f,,checkbox
e640,,checkbox_unchecked
e61b,,cjsx
e641,,clock
e642,,clojure
e643,,code_climate
e644,,code_search
e61b,,coffee
e645,,coldfusion
e615,,config
e646,,cpp
e62f,,crystal
e647,,crystal_embedded
e614,,css
e64a,,csv
e64b,,cu
e651,,d
e64c,,dart
e64d,,db
e64e,,default
e64f,,deprecation_cop
e650,,docker
e652,,editorconfig
e618,,ejs
e62d,,elixir
e653,,elixir_script
e62c,,elm
e654,,error
e655,,eslint
e656,,ethereum
e65a,,f_sharp
e623,,favicon
e657,,firebase
e658,,firefox
e613,,folder
e659,,font
e65d,,git
e65d,,git_folder
e65d,,git_ignore
e65b,,github
e65c,,gitlab
e627,,go
e65e,,go2
e65f,,godot
e660,,gradle
e661,,grails
e662,,graphql
e611,,grunt
e610,,gulp
e663,,hacklang
e664,,haml
e665,,happenings
e61f,,haskell
e666,,haxe
e607,,heroku
e667,,hex
e617,,home
e60e,,html
e668,,ignored
e669,,illustrator
e60d,,image
e66a,,info
e66b,,ionic
e66c,,jade
e66d,,java
e60c,,javascript
e66e,,jenkins
e66f,,jinja
e60b,,json
e624,,julia
e622,,karma
e634,,kotlin
e60b,,less
e60a,,license
e670,,liquid
e671,,livescript
e672,,lock
e620,,lua
e673,,makefile
e609,,markdown
e674,,maven
e675,,mdo
e60f,,mustache
e676,,new_file
e677,,nim
e678,,notebook
e616,,npm
e616,,npm_ignored
e679,,nunjucks
e67a,,ocaml
e67b,,odata
e67c,,pddl
e67d,,pdf
e67e,,perl
e67f,,photoshop
e608,,php
e680,,pipeline
e681,,plan
e682,,platformio
e602,,play_arrow
e683,,powershell
e684,,prisma
e601,,project
e685,,prolog
e686,,pug
e631,,puppet
e630,,purescript
e606,,python
e68a,,r
e604,,rails
e625,,react
e687,,reasonml
e688,,rescript
e689,,rollup
e605,,ruby
e68b,,rust
e68c,,salesforce
e603,,sass
e68d,,sbt
e68e,,scala
e68f,,search
e690,,settings
e691,,shell
e692,,slim
e693,,smarty
e694,,spring
e695,,stylelint
e600,,stylus
e696,,sublime
e697,,svelte
e698,,svg
e699,,swift
e69a,,terraform
e69b,,tex
e64e,,text
e641,,time_cop
e69c,,todo
e69d,,tsconfig
e61c,,twig
e628,,typescript
e69e,,vala
e69f,,video
e6a0,,vue
e6a1,,wasm
e6a2,,wat
e6a3,,webpack
e6a4,,wgt
e6a5,,word
e6a6,,xls
e619,,xml
e6a7,,yarn
e6a8,,yml
e6a9,,zig
e6aa,,zip
