codepoint,character,name
2580,▀,UPPER HALF BLOCK
2581,▁,LOWER ONE EIGHTH BLOCK
2582,▂,LOWER ONE QUARTER BLOCK
2583,▃,LOWER THREE EIGHTHS BLOCK
2584,▄,LOWER HALF BLOCK
2585,▅,LOWER FIVE EIGHTHS BLOCK
2586,▆,LOWER THREE QUARTERS BLOCK
2587,▇,LOWER SEVEN EIGHTHS BLOCK
2588,█,FULL BLOCK
2589,▉,LEFT SEVEN EIGHTHS BLOCK
258A,▊,LEFT THREE QUARTERS BLOCK
258B,▋,LEFT FIVE EIGHTHS BLOCK
258C,▌,LEFT HALF BLOCK
258D,▍,LEFT THREE EIGHTHS BLOCK
258E,▎,LEFT ONE QUARTER BLOCK
258F,▏,LEFT ONE EIGHTH BLOCK
2590,▐,RIGHT HALF BLOCK
2591,░,LIGHT SHADE
2592,▒,MEDIUM SHADE
2593,▓,DARK SHADE
2594,▔,UPPER ONE EIGHTH BLOCK
2595,▕,RIGHT ONE EIGHTH BLOCK
2596,▖,QUADRANT LOWER LEFT
2597,▗,QUADRANT LOWER RIGHT
2598,▘,QUADRANT UPPER LEFT
2599,▙,QUADRANT UPPER LEFT AND LOWER LEFT AND LOWER RIGHT
259A,▚,QUADRANT UPPER LEFT AND LOWER RIGHT
259B,▛,QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER LEFT
259C,▜,QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER RIGHT
259D,▝,QUADRANT UPPER RIGHT
259E,▞,QUADRANT UPPER RIGHT AND LOWER LEFT
259F,▟,QUADRANT UPPER RIGHT AND LOWER LEFT AND LOWER RIGHT
1FB00,🬀,BLOCK SEXTANT-1
1FB01,🬁,BLOCK SEXTANT-2
1FB02,🬂,BLOCK SEXTANT-12
1FB03,🬃,BLOCK SEXTANT-3
1FB04,🬄,BLOCK SEXTANT-13
1FB05,🬅,BLOCK SEXTANT-23
1FB06,🬆,BLOCK SEXTANT-123
1FB07,🬇,BLOCK SEXTANT-4
1FB08,🬈,BLOCK SEXTANT-14
1FB09,🬉,BLOCK SEXTANT-24
1FB0A,🬊,BLOCK SEXTANT-124
1FB0B,🬋,BLOCK SEXTANT-34
1FB0C,🬌,BLOCK SEXTANT-134
1FB0D,🬍,BLOCK SEXTANT-234
1FB0E,🬎,BLOCK SEXTANT-1234
1FB0F,🬏,BLOCK SEXTANT-5
1FB10,🬐,BLOCK SEXTANT-15
1FB11,🬑,BLOCK SEXTANT-25
1FB12,🬒,BLOCK SEXTANT-125
1FB13,🬓,BLOCK SEXTANT-35
1FB14,🬔,BLOCK SEXTANT-235
1FB15,🬕,BLOCK SEXTANT-1235
1FB16,🬖,BLOCK SEXTANT-45
1FB17,🬗,BLOCK SEXTANT-145
1FB18,🬘,BLOCK SEXTANT-245
1FB19,🬙,BLOCK SEXTANT-1245
1FB1A,🬚,BLOCK SEXTANT-345
1FB1B,🬛,BLOCK SEXTANT-1345
1FB1C,🬜,BLOCK SEXTANT-2345
