codepoint,character,name
2500,─,BOX DRAWINGS LIGHT HORIZONTAL
2501,━,BOX DRAWINGS HEAVY HORIZONTAL
2502,│,BOX DRAWINGS LIGHT VERTICAL
2503,┃,BOX DRAWINGS HEAVY VERTICAL
2504,┄,BOX DRAWINGS LIGHT TRIPLE DASH HORIZONTAL
2505,┅,BOX DRAWINGS HEAVY TRIPLE DASH HORIZONTAL
2506,┆,BOX DRAWINGS LIGHT TRIPLE DASH VERTICAL
2507,┇,BOX DRAWINGS HEAVY TRIPLE DASH VERTICAL
2508,┈,BOX DRAWINGS LIGHT QUADRUPLE DASH HORIZONTAL
2509,┉,BOX DRAWINGS HEAVY QUADRUPLE DASH HORIZONTAL
250A,┊,BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL
250B,┋,BOX DRAWINGS HEAVY QUADRUPLE DASH VERTICAL
250C,┌,BOX DRAWINGS LIGHT DOWN AND RIGHT
250D,┍,BOX DRAWINGS DOWN LIGHT AND RIGHT HEAVY
250E,┎,BOX DRAWINGS DOWN HEAVY AND RIGHT LIGHT
250F,┏,BOX DRAWINGS HEAVY DOWN AND RIGHT
2510,┐,BOX DRAWINGS LIGHT DOWN AND LEFT
2511,┑,BOX DRAWINGS DOWN LIGHT AND LEFT HEAVY
2512,┒,BOX DRAWINGS DOWN HEAVY AND LEFT LIGHT
2513,┓,BOX DRAWINGS HEAVY DOWN AND LEFT
2514,└,BOX DRAWINGS LIGHT UP AND RIGHT
2515,┕,BOX DRAWINGS UP LIGHT AND RIGHT HEAVY
2516,┖,BOX DRAWINGS UP HEAVY AND RIGHT LIGHT
2517,┗,BOX DRAWINGS HEAVY UP AND RIGHT
2518,┘,BOX DRAWINGS LIGHT UP AND LEFT
2519,┙,BOX DRAWINGS UP LIGHT AND LEFT HEAVY
251A,┚,BOX DRAWINGS UP HEAVY AND LEFT LIGHT
251B,┛,BOX DRAWINGS HEAVY UP AND LEFT
251C,├,BOX DRAWINGS LIGHT VERTICAL AND RIGHT
251D,┝,BOX DRAWINGS VERTICAL LIGHT AND RIGHT HEAVY
251E,┞,BOX DRAWINGS UP HEAVY AND RIGHT DOWN LIGHT
251F,┟,BOX DRAWINGS DOWN HEAVY AND RIGHT UP LIGHT
2520,┠,BOX DRAWINGS VERTICAL HEAVY AND RIGHT LIGHT
2521,┡,BOX DRAWINGS DOWN LIGHT AND RIGHT UP HEAVY
2522,┢,BOX DRAWINGS UP LIGHT AND RIGHT DOWN HEAVY
2523,┣,BOX DRAWINGS HEAVY VERTICAL AND RIGHT
2524,┤,BOX DRAWINGS LIGHT VERTICAL AND LEFT
2525,┥,BOX DRAWINGS VERTICAL LIGHT AND LEFT HEAVY
2526,┦,BOX DRAWINGS UP HEAVY AND LEFT DOWN LIGHT
2527,┧,BOX DRAWINGS DOWN HEAVY AND LEFT UP LIGHT
2528,┨,BOX DRAWINGS VERTICAL HEAVY AND LEFT LIGHT
2529,┩,BOX DRAWINGS DOWN LIGHT AND LEFT UP HEAVY
252A,┪,BOX DRAWINGS UP LIGHT AND LEFT DOWN HEAVY
252B,┫,BOX DRAWINGS HEAVY VERTICAL AND LEFT
252C,┬,BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
252D,┭,BOX DRAWINGS LEFT HEAVY AND RIGHT DOWN LIGHT
252E,┮,BOX DRAWINGS RIGHT HEAVY AND LEFT DOWN LIGHT
