codepoint,character,name
25A0,■,BLACK SQUARE
25A1,□,WHITE SQUARE
25A2,▢,WHITE SQUARE WITH ROUNDED CORNERS
25A3,▣,WHITE SQUARE CONTAINING BLACK SMALL SQUARE
25A4,▤,SQUARE WITH HORIZONTAL FILL
25A5,▥,SQUARE WITH VERTICAL FILL
25A6,▦,SQUARE WITH ORTHOGONAL CROSSHATCH FILL
25A7,▧,SQUARE WITH UPPER LEFT TO LOWER RIGHT FILL
25A8,▨,SQUARE WITH UPPER RIGHT TO LOWER LEFT FILL
25A9,▩,SQUARE WITH DIAGONAL CROSSHATCH FILL
25AA,▪,BLACK SMALL SQUARE
25AB,▫,WHITE SMALL SQUARE
25AC,▬,BLACK RECTANGLE
25AD,▭,WHITE RECTANGLE
25AE,▮,BLACK VERTICAL RECTANGLE
25AF,▯,WHITE VERTICAL RECTANGLE
25B0,▰,BLACK PARALLELOGRAM
25B1,▱,WHITE PARALLELOGRAM
25B2,▲,BLACK UP-POINTING TRIANGLE
25B3,△,WHITE UP-POINTING TRIANGLE
25B4,▴,BLACK UP-POINTING SMALL TRIANGLE
25B5,▵,WHITE UP-POINTING SMALL TRIANGLE
25B6,▶,BLACK RIGHT-POINTING TRIANGLE
25B7,▷,WHITE RIGHT-POINTING TRIANGLE
25B8,▸,BLACK RIGHT-POINTING SMALL TRIANGLE
25B9,▹,WHITE RIGHT-POINTING SMALL TRIANGLE
25BA,►,BLACK RIGHT-POINTING POINTER
25BB,▻,WHITE RIGHT-POINTING POINTER
25BC,▼,BLACK DOWN-POINTING TRIANGLE
25BD,▽,WHITE DOWN-POINTING TRIANGLE
25BE,▾,BLACK DOWN-POINTING SMALL TRIANGLE
25BF,▿,WHITE DOWN-POINTING SMALL TRIANGLE
25C0,◀,BLACK LEFT-POINTING TRIANGLE
25C1,◁,WHITE LEFT-POINTING TRIANGLE
25C2,◂,BLACK LEFT-POINTING SMALL TRIANGLE
25C3,◃,WHITE LEFT-POINTING SMALL TRIANGLE
25C4,◄,BLACK LEFT-POINTING POINTER
25C5,◅,WHITE LEFT-POINTING POINTER
25C6,◆,BLACK DIAMOND
25C7,◇,WHITE DIAMOND
25C8,◈,WHITE DIAMOND CONTAINING BLACK SMALL DIAMOND
25C9,◉,FISHEYE
25CA,◊,LOZENGE
25CB,○,WHITE CIRCLE
25CC,◌,DOTTED CIRCLE
25CD,◍,CIRCLE WITH VERTICAL FILL
25CE,◎,BULLSEYE
25CF,●,BLACK CIRCLE
25D0,◐,CIRCLE WITH LEFT HALF BLACK
25D1,◑,CIRCLE WITH RIGHT HALF BLACK
25D2,◒,CIRCLE WITH LOWER HALF BLACK
25D3,◓,CIRCLE WITH UPPER HALF BLACK
25D4,◔,CIRCLE WITH UPPER RIGHT QUADRANT BLACK
25D5,◕,CIRCLE WITH ALL BUT UPPER LEFT QUADRANT BLACK
25D6,◖,LEFT HALF BLACK CIRCLE
25D7,◗,RIGHT HALF BLACK CIRCLE
25D8,◘,INVERSE BULLET
25D9,◙,INVERSE WHITE CIRCLE
25DA,◚,UPPER HALF INVERSE WHITE CIRCLE
25DB,◛,LOWER HALF INVERSE WHITE CIRCLE
25DC,◜,UPPER LEFT QUADRANT CIRCULAR ARC
25DD,◝,UPPER RIGHT QUADRANT CIRCULAR ARC
25DE,◞,LOWER RIGHT QUADRANT CIRCULAR ARC
25DF,◟,LOWER LEFT QUADRANT CIRCULAR ARC
25E0,◠,UPPER HALF CIRCLE
25E1,◡,LOWER HALF CIRCLE
25E2,◢,BLACK LOWER RIGHT TRIANGLE
25E3,◣,BLACK LOWER LEFT TRIANGLE
25E4,◤,BLACK UPPER LEFT TRIANGLE
25E5,◥,BLACK UPPER RIGHT TRIANGLE
25E6,◦,WHITE BULLET
25E7,◧,SQUARE WITH LEFT HALF BLACK
25E8,◨,SQUARE WITH RIGHT HALF BLACK
25E9,◩,SQUARE WITH UPPER LEFT DIAGONAL HALF BLACK
25EA,◪,SQUARE WITH LOWER RIGHT DIAGONAL HALF BLACK
25EB,◫,WHITE SQUARE WITH VERTICAL BISECTING LINE
25EC,◬,WHITE UP-POINTING TRIANGLE WITH DOT
25ED,◭,UP-POINTING TRIANGLE WITH LEFT HALF BLACK
25EE,◮,UP-POINTING TRIANGLE WITH RIGHT HALF BLACK
25EF,◯,LARGE CIRCLE
25F0,◰,WHITE SQUARE WITH UPPER LEFT QUADRANT
25F1,◱,WHITE SQUARE WITH LOWER LEFT QUADRANT
25F2,◲,WHITE SQUARE WITH LOWER RIGHT QUADRANT
25F3,◳,WHITE SQUARE WITH UPPER RIGHT QUADRANT
25F4,◴,WHITE CIRCLE WITH UPPER LEFT QUADRANT
25F5,◵,WHITE CIRCLE WITH LOWER LEFT QUADRANT
25F6,◶,WHITE CIRCLE WITH LOWER RIGHT QUADRANT
25F7,◷,WHITE CIRCLE WITH UPPER RIGHT QUADRANT
25F8,◸,UPPER LEFT TRIANGLE
25F9,◹,UPPER RIGHT TRIANGLE
25FA,◺,LOWER LEFT TRIANGLE
25FB,◻,WHITE MEDIUM SQUARE
25FC,◼,BLACK MEDIUM SQUARE
25FD,◽,WHITE MEDIUM SMALL SQUARE
25FE,◾,BLACK MEDIUM SMALL SQUARE
25FF,◿,LOWER RIGHT TRIANGLE
2BBA,⮺,OVERLAPPING WHITE SQUARES
2BBB,⮻,OVERLAPPING WHITE AND BLACK SQUARES
2BBC,⮼,OVERLAPPING BLACK SQUARES
2BBD,⮽,BALLOT BOX WITH LIGHT X
2BBE,⮾,CIRCLED X
2BBF,⮿,CIRCLED BOLD X
2BC0,⯀,BLACK SQUARE CENTRED
2BC1,⯁,BLACK DIAMOND CENTRED
2BC2,⯂,TURNED BLACK PENTAGON
2BC3,⯃,HORIZONTAL BLACK OCTAGON
2BC4,⯄,BLACK OCTAGON
2BC5,⯅,BLACK MEDIUM UP-POINTING TRIANGLE CENTRED
2BC6,⯆,BLACK MEDIUM DOWN-POINTING TRIANGLE CENTRED
2BC7,⯇,BLACK MEDIUM LEFT-POINTING TRIANGLE CENTRED
2BC8,⯈,BLACK MEDIUM RIGHT-POINTING TRIANGLE CENTRED
2BC9,⯉,NEPTUNE FORM TWO
2BCA,⯊,TOP HALF BLACK CIRCLE
2BCB,⯋,BOTTOM HALF BLACK CIRCLE
2BCC,⯌,LIGHT FOUR POINTED BLACK CUSP
2BCD,⯍,ROTATED LIGHT FOUR POINTED BLACK CUSP
2BCE,⯎,WHITE FOUR POINTED CUSP
2BCF,⯏,ROTATED WHITE FOUR POINTED CUSP
1FBE0,🯠,TOP JUSTIFIED LOWER HALF WHITE CIRCLE
1FBE1,🯡,RIGHT JUSTIFIED LEFT HALF WHITE CIRCLE
1FBE2,🯢,BOTTOM JUSTIFIED UPPER HALF WHITE CIRCLE
1FBE3,🯣,LEFT JUSTIFIED RIGHT HALF WHITE CIRCLE
1FBE4,🯤,UPPER CENTRE ONE QUARTER BLOCK
1FBE5,🯥,LOWER CENTRE ONE QUARTER BLOCK
1FBE6,🯦,MIDDLE LEFT ONE QUARTER BLOCK
1FBE7,🯧,MIDDLE RIGHT ONE QUARTER BLOCK
1FBE8,🯨,TOP JUSTIFIED LOWER HALF BLACK CIRCLE
1FBE9,🯩,RIGHT JUSTIFIED LEFT HALF BLACK CIRCLE
1FBEA,🯪,BOTTOM JUSTIFIED UPPER HALF BLACK CIRCLE
1FBEB,🯫,LEFT JUSTIFIED RIGHT HALF BLACK CIRCLE
1FBEC,🯬,TOP RIGHT JUSTIFIED LOWER LEFT QUARTER BLACK CIRCLE
